block_interval,block_size,fee_rate,difficulty,hash_rate,mempool_tx_count,is_delay
520,1.1,30,1500000000000,120,25000,1
610,0.9,18,1498000000000,115,12000,0
900,1.3,45,1502000000000,130,40000,1
480,0.8,20,1495000000000,110,10000,0
1300,1.4,60,1505000000000,140,55000,1
700,0.95,25,1499000000000,118,18000,0
1500,1.6,70,1507000000000,145,60000,1
300,0.7,15,1493000000000,105,8000,0
1100,1.2,55,1504000000000,135,50000,1
650,0.85,22,1498500000000,116,15000,0
800,1.0,35,1501000000000,125,30000,1
550,0.95,22,1497000000000,112,14000,0
1200,1.35,52,1503000000000,138,45000,1
420,0.75,18,1494000000000,108,9000,0
1400,1.45,65,1506000000000,142,58000,1
680,0.9,28,1499500000000,119,20000,0
1600,1.65,75,1508000000000,148,65000,1
320,0.65,16,1493500000000,106,8500,0
1050,1.15,50,1503500000000,132,48000,1
620,0.8,20,1498200000000,114,16000,0
580,1.05,32,1500500000000,122,28000,1
720,1.0,26,1499200000000,117,22000,0
950,1.25,48,1502500000000,136,42000,1
450,0.85,21,1494500000000,109,11000,0
1350,1.4,62,1505500000000,141,56000,1
670,0.92,24,1498800000000,120,19000,0
1550,1.55,72,1507500000000,147,64000,1
340,0.68,17,1493800000000,107,9200,0
1080,1.18,53,1503800000000,134,51000,1
640,0.82,23,1498600000000,115,17000,0
590,1.08,33,1500800000000,123,29000,1
710,0.98,27,1499100000000,118,23000,0
940,1.22,47,1502200000000,137,41000,1
460,0.87,22,1494600000000,110,12000,0
1320,1.38,61,1505200000000,140,55000,1
660,0.9,25,1498700000000,121,20000,0
1520,1.52,71,1507200000000,146,63000,1
350,0.7,18,1493900000000,108,9500,0
1060,1.16,51,1503600000000,133,50000,1
630,0.8,21,1498400000000,116,18000,0
570,1.06,31,1500200000000,124,27000,1
690,0.96,29,1498900000000,119,24000,0
920,1.2,46,1501900000000,138,40000,1
470,0.89,23,1494700000000,111,13000,0
1280,1.36,59,1504800000000,139,54000,1
650,0.88,26,1498600000000,122,21000,0
1480,1.5,69,1506800000000,145,62000,1
360,0.72,19,1494100000000,109,10000,0
1020,1.14,49,1503200000000,132,49000,1
620,0.78,22,1498200000000,117,19000,0
560,1.04,30,1499900000000,125,26000,1
680,0.94,28,1498800000000,120,25000,0
900,1.18,45,1501600000000,139,39000,1
480,0.91,24,1494800000000,112,14000,0
1240,1.34,58,1504400000000,138,53000,1
640,0.86,27,1498500000000,123,22000,0
1440,1.48,68,1506400000000,144,61000,1
370,0.74,20,1494200000000,110,10500,0
1000,1.12,48,1502800000000,131,48000,1
610,0.76,23,1498100000000,118,20000,0
550,1.02,29,1499700000000,126,28000,1
670,0.92,27,1498700000000,121,26000,0
880,1.16,44,1501300000000,140,38000,1
490,0.93,25,1494900000000,113,15000,0
1200,1.32,57,1504000000000,137,52000,1
630,0.84,28,1498400000000,124,23000,0
1400,1.46,67,1506000000000,143,60000,1
380,0.76,21,1494300000000,111,11000,0
980,1.1,47,1502400000000,130,47000,1
600,0.74,24,1498000000000,119,21000,0
540,1.0,28,1499500000000,127,29000,1
660,0.9,26,1498600000000,122,27000,0
860,1.14,43,1501000000000,141,37000,1
500,0.95,26,1495000000000,114,16000,0
1160,1.3,56,1503600000000,136,51000,1
620,0.82,29,1498300000000,125,24000,0
1360,1.44,66,1505600000000,142,59000,1
390,0.78,22,1494400000000,112,11500,0
960,1.08,46,1502000000000,129,46000,1
590,0.72,25,1497900000000,120,22000,0
530,0.98,27,1499300000000,128,31000,1
650,0.88,25,1498500000000,123,28000,0
840,1.12,42,1500700000000,142,36000,1
510,0.97,27,1495100000000,115,17000,0
1120,1.28,55,1503200000000,135,50000,1
610,0.8,30,1498200000000,126,25000,0
1320,1.42,65,1505200000000,141,58000,1
400,0.8,23,1494500000000,113,12000,0
940,1.06,45,1501600000000,128,45000,1
580,0.7,26,1497800000000,121,23000,0
520,0.96,26,1499200000000,129,32000,1
640,0.86,24,1498400000000,124,29000,0
820,1.1,41,1500400000000,143,35000,1
520,0.99,28,1495200000000,116,18000,0
1080,1.26,54,1502800000000,134,49000,1

