ON TIME BLOCKS

block_interval,block_size,fee_rate,difficulty,hash_rate,mempool_tx_count,is_delay
520,0.95,18,1500000000000,155,12000,0
610,1.0,22,1500200000000,152,15000,0
480,0.9,16,1499800000000,158,9000,0
540,0.92,20,1500100000000,154,13000,0
600,1.02,24,1500300000000,153,16000,0
450,0.88,15,1499600000000,159,8000,0
570,0.96,19,1500050000000,156,14000,0
630,1.04,23,1500400000000,152,17000,0
500,0.9,17,1499900000000,157,11000,0
590,0.98,21,1500150000000,154,15000,0
520,0.94,18,1500000000000,156,12500,0
610,1.01,22,1500250000000,153,15500,0
470,0.87,14,1499700000000,160,8500,0
555,0.95,19,1500080000000,155,13500,0
640,1.06,24,1500450000000,151,17500,0
490,0.89,16,1499850000000,158,10500,0
580,0.97,20,1500120000000,154,14500,0
530,0.93,18,1500020000000,157,12000,0
600,1.0,22,1500300000000,153,16000,0
460,0.86,13,1499550000000,161,7800,0
1100,1.3,50,1504000000000,145,50000,1
1250,1.4,60,1505000000000,142,58000,1
1150,1.32,55,1504300000000,144,52000,1
1080,1.28,48,1503900000000,146,47000,1
1200,1.35,58,1504600000000,143,54000,1
